A1,A2,A3,G1,G2,G3,M1,M2,M3
filter,filter,drag-and-drop,representative-outlier,representative-outlier,ID,PD,show-scatter,dynamic-class
filter,E,drag-and-drop,control-kmeans-clustersize,IS,C,sketch-to-query,change-axis,ID
filter,E,sketch-to-modify,representative-outlier,BR,W,ignore-xrange,PS,show-scatter
filter,drag-and-drop,ignore-xrange,control-kmeans-clustersize,representative-outlier,show-scatter,C,dynamic-class,IS
BR,W,BR,W,control-kmeans-clustersize,upload-dataset,change-axis,dynamic-class,dynamic-class
IS,ID,drag-and-drop,IS,representative-outlier,BR,W,dynamic-class,PS
E,E,ignore-xrange,BR,filter,representative-outlier,W,dynamic-class,dynamic-class
E,ID,change-metric,drag-and-drop,C,W,W,PS,ID
drag-and-drop,BR,C,IS,BR,change-metric,brush-xrange,dynamic-class,change-axis
ID,filter,brush-xrange,W,W,control-kmeans-clustersize,change-axis,IS,IS
filter,E,change-metric,BR,drag-and-drop,representative-outlier,IS,IS,drag-and-drop
E,PD,ID,drag-and-drop,W,ID,representative-outlier,C,dynamic-class
IS,export,change-metric,min-similarity-cutoff,filter,drag-and-drop,W,BR,IS
PS,filter,W,brush-xrange,PS,IS,PS,W,change-metric
E,E,BR,export,BR,BR,dynamic-class,dynamic-class,C
PS,PD,filter,BR,show-scatter,export,PD,IS,drag-and-drop
PD,filter,W,control-kmeans-clustersize,ID,BR,IS,sketch-to-query,IS
reverse-y,E,W,C,BR,representative-outlier,BR,C,BR
E,PD,filter,W,sketch-to-query,IS,filter,sketch-to-modify,change-axis
PS,export,ID,drag-and-drop,ID,ignore-xrange,sketch-to-query,BR,sketch-to-modify
BR,export,BR,drag-and-drop,W,IS,show-scatter,change-axis,sketch-to-modify
drag-and-drop,filter,change-axis,ID,ignore-xrange,BR,W,sketch-to-modify,BR
C,E,ID,control-kmeans-clustersize,sketch-to-query,,filter,drag-and-drop,PS
filter,export,filter,C,filter,,filter,sketch-to-modify,drag-and-drop
BR,BR,W,W,IS,,filter,ID,ID
filter,PS,BR,PS,filter,,ID,C,W
PS,E,change-axis,W,BR,,BR,drag-and-drop,IS
E,E,PS,BR,filter,,W,sketch-to-modify,BR
E,dynamic-class,BR,,PS,,E,IS,change-axis
PS,W,input-equation,,filter,,E,C,W
brush-xrange,E,BR,,W,,W,C,W
W,change-axis,export,,representative-outlier,,E,BR,BR
ID,ignore-xrange,W,,BR,,,dynamic-class,
W,IS,BR,,smoothing,,,IS,
W,PD,,,smoothing,,,IS,
ID,BR,,,BR,,,representative-outlier,
BR,W,,,pattern-upload,,,filter,
filter,PS,,,PD,,,IS,
filter,drag-and-drop,,,E,,,change-axis,
BR,W,,,filter,,,ID,
smoothing,brush-xrange,,,drag-and-drop,,,BR,
sketch-to-query,PS,,,IS,,,,
sketch-to-query,BR,,,W,,,,
filter,,,,export,,,,
E,,,,representative-outlier,,,,
PS,,,,ID,,,,
W,,,,export,,,,
W,,,,BR,,,,
W,,,,brush-xrange,,,,
IS,,,,PS,,,,
BR,,,,upload-dataset,,,,
dynamic-class,,,,smoothing,,,,
dynamic-class,,,,control-kmeans-clustersize,,,,
W,,,,representative-outlier,,,,
dynamic-class,,,,ID,,,,
BR,,,,ID,,,,
filter,,,,PS,,,,
E,,,,BR,,,,
ID,,,,,,,,
pattern-upload,,,,,,,,
export,,,,,,,,
W,,,,,,,,
dynamic-class,,,,,,,,
BR,,,,,,,,
filter,,,,,,,,
E,,,,,,,,
ID,,,,,,,,
pattern-upload,,,,,,,,
export,,,,,,,,
W,,,,,,,,
BR,,,,,,,,
