A1,A2,A3,G1,G2,G3,M1,M2,M3
PD,PD,PD,BR,BR,ID,PD,PD,PD
PD,E,PD,PD,IS,C,PD,PD,ID
PD,E,PD,,BR,W,PD,PS,PS
PD,,PD,,PS,ID,C,PD,IS
BR,PD,BR,W,PD,PD,PD,PD,PD
IS,W,PS,IS,PD,BR,W,PD,PS
E,ID,PD,BR,PD,ID,W,ID,PD
E,E,PD,PD,C,W,W,PS,ID
PD,ID,C,IS,BR,PD,BR,PD,PD
ID,BR,PD,W,W,,PD,IS,IS
PD,ID,PD,BR,PD,W,PD,IS,PD
E,E,ID,PD,W,ID,IS,C,PD
IS,,PD,PD,PD,PD,ID,BR,IS
PS,PD,W,PD,PS,IS,W,W,PD
E,PD,BR,PD,BR,BR,PS,PD,C
PS,PD,PD,BR,PD,,C,IS,PD
PD,PD,W,PD,ID,BR,PD,BR,IS
PD,E,W,C,BR,,IS,PD,BR
E,,PD,W,PD,IS,BR,C,PD
PS,PD,ID,PD,ID,PD,PD,PD,PD
BR,PD,BR,PD,W,IS,PD,BR,PD
PD,PD,PD,ID,PD,BR,PD,PD,BR
C,PD,ID,PD,PD,,BR,PD,PS
PD,E,PD,C,PD,,W,PD,PD
BR,,W,W,IS,,PD,PD,ID
PD,PD,BR,PS,ID,,PD,ID,W
PS,PD,PD,W,BR,,PD,C,IS
E,PD,PS,,PD,,ID,PD,BR
E,ID,BR,,PS,,BR,PD,PD
PS,E,PD,,PD,,W,IS,W
PD,BR,BR,,W,,E,C,W
W,PS,PD,,ID,,E,C,
ID,E,W,,BR,,W,BR,
W,E,,,PD,,E,PD,
W,PD,,,PD,,BR,IS,
ID,W,,,BR,,,IS,
BR,E,,,PD,,,PS,
PD,PD,,,PD,,,PD,
PD,PD,,,E,,,IS,
BR,IS,,,PS,,,PD,
PD,PD,,,PD,,,ID,
PD,BR,,,IS,,,,
PD,W,,,W,,,,
PD,PS,,,BR,,,,
E,PD,,,BR,,,,
PS,W,,,ID,,,,
W,PD,,,BR,,,,
W,PS,,,BR,,,,
W,BR,,,PD,,,,
IS,,,,PS,,,,
BR,,,,BR,,,,
PD,,,,PD,,,,
PD,,,,PD,,,,
W,,,,PD,,,,
PD,,,,ID,,,,
BR,,,,ID,,,,
PS,,,,PS,,,,
E,,,,,,,,
ID,,,,,,,,
BR,,,,,,,,
BR,,,,,,,,
W,,,,,,,,
PD,,,,,,,,
BR,,,,,,,,
PS,,,,,,,,
E,,,,,,,,
ID,,,,,,,,
BR,,,,,,,,
BR,,,,,,,,
W,,,,,,,,
